"","logFC","AveExpr","t","P.Value","adj.P.Val","B","metab_symbol","diffexpressed","delabel"
"HMDB08070",1.14290579937925,-0.200947157235,7.65452012141258,4.04666743017463e-13,4.09427528229433e-12,19.2976510664919,"HMDB08070","UP","PC(18:1(11Z)/18:1(11Z))"
"HMDB11698",1.0485080577841,-0.1777843625,7.59873693185673,5.75341958503788e-13,5.49771204792509e-12,18.9549593241964,"HMDB11698","UP","SM(d18:1/26:0)"
"HMDB13129",1.20485281666249,-0.158846734255,7.53525983578557,8.57075309705804e-13,7.54990653074054e-12,18.5669092282392,"HMDB13129","UP","Glutaconylcarnitine"
"HMDB07867",1.04053104322316,-0.159031338245,7.53142681606777,8.77896108225644e-13,7.54990653074054e-12,18.5435425814275,"HMDB07867","UP","PC(14:0/14:1(9Z))"
"HMDB00148",-1.05279989887738,0.31882816852,-7.4545400327798,1.41861177848735e-12,1.15754423928449e-11,18.0764182650628,"HMDB00148","DOWN","L-Glutamic acid"
"HMDB13469",1.08670110289017,-0.0977219973,7.4476668372499,1.48057984094528e-12,1.15754423928449e-11,18.034808415248,"HMDB13469","UP","SM(d18:0/24:1(15Z)(OH))"
"HMDB13465",0.975619596421732,-0.04773576718,7.32571882301772,3.14873001970512e-12,2.35470244951861e-11,17.3006344770111,"HMDB13465","UP","SM(d18:0/20:2(11Z,14Z))"
"HMDB12107",1.0725005267558,-0.125896991445,7.30338228435621,3.61241864361431e-12,2.58890002792359e-11,17.167006540071,"HMDB12107","UP","SM(d18:1/24:1(15Z))"
"HMDB13432",1.06550512583569,0.00414485062,7.28695892004081,3.99571250223791e-12,2.74905020153968e-11,17.0689228320534,"HMDB13432","UP","PC(o-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))"
"HMDB13429",1.05495527664319,-0.107332888745,7.26697852198355,4.51641103406815e-12,2.98777960715277e-11,16.9497892771812,"HMDB13429","UP","PC(o-18:1(9Z)/18:2(9Z,12Z))"
"HMDB01348",1.07240700875052,-0.15607662281,7.25399465328296,4.89007222835823e-12,3.11515712325042e-11,16.8724868559871,"HMDB01348","UP","SM(d18:1/18:0)"
"HMDB07887",0.96588124736307,-0.16203114024,7.24620776361037,5.1286234069242e-12,3.15044009282487e-11,16.8261690801477,"HMDB07887","UP","PC(14:0/22:1(13Z))"
"HMDB13341",1.02141559939716,-0.15389341834,7.13164537981235,1.02972674193685e-11,6.10734481424613e-11,16.148508666009,"HMDB13341","UP","PC(o-14:0/16:0)"
"HMDB13417",0.919611918441006,-0.161416441735,7.09707453495865,1.2690409674223e-11,7.27583487988788e-11,15.9454163192699,"HMDB13417","UP","PC(o-18:0/18:0)"
"HMDB08029",1.08139275104093,-0.24705313646,7.06001784859496,1.5865167576533e-11,8.62332830247197e-11,15.7284494757793,"HMDB08029","UP","PC(16:1(9Z)/P-18:1(11Z))"
"HMDB01539",1.04326822264897,-0.22768094469,7.05816049691287,1.60434014929711e-11,8.62332830247197e-11,15.7175946163834,"HMDB01539","UP",NA
"HMDB00562",1.01287599784715,-0.177939268325,7.03201891355053,1.87714355866995e-11,9.56089125411687e-11,15.5650187921162,"HMDB00562","UP",NA
"HMDB13466",0.979818883426062,-0.08971451375,7.03088625451762,1.88994361999985e-11,9.56089125411687e-11,15.5584165707372,"HMDB13466","UP","SM(d18:0/22:1(13Z)(OH))"
"HMDB03334",1.04133676027908,-0.18712230414,7.0074085776582,2.17548510389119e-11,1.06909553676939e-10,15.4217268044054,"HMDB03334","UP",NA
"HMDB07911",1.03589680186408,-0.19714732006,6.98854373859669,2.43535609886127e-11,1.1635590250115e-10,15.3121160912896,"HMDB07911","UP","PC(14:1(9Z)/20:0)"
"HMDB13130",1.01188419105854,-0.177179615175,6.98273046084453,2.52143010318991e-11,1.17212426418558e-10,15.2783791786724,"HMDB13130","UP",NA
"HMDB13124",1.0712796946744,-0.15787705824,6.89503273537224,4.24841676158814e-11,1.9229675868241e-10,14.7717372742196,"HMDB13124","UP","Propenoylcarnitine"
"HMDB08163",0.932661925648278,-0.07890440609,6.81730457530558,6.72199984963209e-11,2.96457429265826e-10,14.3263388582572,"HMDB08163","UP","PC(18:3(6Z,9Z,12Z)/14:0)"
"HMDB00552",1.04139501171519,-0.19390534359,6.79070267890935,7.85886087541138e-11,3.37931017642689e-10,14.1747000181316,"HMDB00552","UP",NA
"HMDB08192",0.957741450424733,-0.1337769031,6.77032336857288,8.85583654663285e-11,3.71513142931915e-10,14.0588080591131,"HMDB08192","UP","PC(18:3(6Z,9Z,12Z)/P-16:0)"
"HMDB07965",0.965354561084684,-0.19746987234,6.68018078210187,1.49772892248616e-10,6.13355653970524e-10,13.5490856143121,"HMDB07965","UP","PC(16:0/14:0)"
"HMDB12101",0.982589360548222,-0.126256938545,6.67058168522876,1.58348971103165e-10,6.33395884412662e-10,13.4950863522211,"HMDB12101","UP","SM(d18:1/18:1(9Z))"
"HMDB13409",0.927495279902226,-0.089252803045,6.49736503621085,4.2854469352654e-10,1.67522016560375e-09,12.5300581932547,"HMDB13409","UP","PC(o-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"HMDB07983",0.9225136895812,-0.126945228585,6.4585047705097,5.34502588055135e-10,2.04298766989963e-09,12.3160317964052,"HMDB07983","UP","PC(16:0/20:4(8Z,11Z,14Z,17Z))"
"HMDB00641",0.932908547202001,-0.1007377773,6.36808211458358,8.90659713080418e-10,3.33029284021374e-09,11.8215824428466,"HMDB00641","UP",NA
"HMDB06469",0.91725100325471,-0.237238644665,6.30570560172745,1.26313155767671e-09,4.62252399830625e-09,11.4834267368338,"HMDB06469","UP",NA
"HMDB13422",0.914338669183573,-0.05706420202,6.22940828811449,1.93043634862117e-09,6.91739691589253e-09,11.0730950108774,"HMDB13422","UP","PC(o-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
"HMDB29221",0.809672277374739,-0.106251432485,6.15335587905903,2.93582263476673e-09,1.03053365955077e-08,10.6677228074884,"HMDB29221","UP","lysoPC(28:1(5Z))"
"HMDB13461",0.830693123495876,-0.078372652145,6.14510750316864,3.0717351966808e-09,1.05667690765819e-08,10.6239778631872,"HMDB13461","UP","SM(d18:0/26:1(17Z))"
"HMDB08522",0.889107803514121,-0.066325981745,6.13571934773729,3.23393495414357e-09,1.09066041590724e-08,10.5742408343925,"HMDB08522","UP","PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:0)"
"HMDB13446",-0.874974348555289,0.26315371287,-6.10067728703935,3.91683393552984e-09,1.29556814790602e-08,10.3890900172907,"HMDB13446","DOWN","PC(o-22:0/18:3(9Z,12Z,15Z))"
"HMDB07898",0.909307871131086,-0.19838375816,6.04691799793803,5.24728194915504e-09,1.7028915004805e-08,10.1065736777016,"HMDB07898","UP","PC(14:0/P-18:1(9Z))"
"HMDB02014",0.959647437416529,-0.085856603225,5.98756133178291,7.23170920837099e-09,2.30343330340706e-08,9.79680920826729,"HMDB02014","UP",NA
"HMDB13330",0.969104131699427,-0.057954232635,5.93733699942812,9.47018336204877e-09,2.96158461504071e-08,9.53649378122592,"HMDB13330","UP",NA
"HMDB13413",0.941709187446988,-0.109796435805,5.93374839039457,9.65383684901032e-09,2.96510703219603e-08,9.51795697199785,"HMDB13413","UP","PC(o-16:1(9Z)/18:2(9Z,12Z))"
"HMDB13415",0.883273178680594,-0.032072234785,5.8591840004684,1.43619243216328e-08,4.33377365494883e-08,9.13471456010494,"HMDB13415","UP","PC(o-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))"
"HMDB13456",0.897110880020777,-0.00211457171,5.75332733581614,2.50871190768031e-08,7.43962841587953e-08,8.59697292062634,"HMDB13456","UP","PC(o-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))"
