Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
041_S_4138	0.0	0.0	0.020381	0.035569	0.136479	0.068856	0.050817	0.0	0.02626	0.028434	0.1445	0.022735	0.130701	0.0	0.0	0.093074	0.0	0.0	0.003047	0.0	0.020568	0.218579
041_S_4629	0.0	0.006094	0.001018	0.072326	0.094017	0.027993	0.056814	0.0	0.00817	0.038624	0.158973	0.0	0.166845	0.0	0.003561	0.085624	0.0	0.0	0.007235	0.0	0.058069	0.214638
051_S_1040	0.0	0.0	0.017483	0.04528	0.105371	0.057888	0.063014	0.0	0.008318	0.006162	0.155033	0.005263	0.149354	0.0	0.006835	0.098924	0.0	0.0	0.011992	0.0	0.05909	0.209993
051_S_1072	0.0	0.001373	0.0	0.056131	0.089575	0.026873	0.042432	0.0	0.00628	0.00206	0.141942	0.003186	0.174361	0.0	0.007088	0.128629	0.0	0.0	0.0	0.0	0.06005	0.26002
051_S_1131	0.0	0.0	0.003072	0.06906	0.055677	0.015893	0.053669	0.0	0.0	0.008389	0.161384	0.0	0.116289	0.0	0.006099	0.109509	0.0	0.0	0.000202	0.0	0.056447	0.344308
051_S_1331	0.0	0.012633	0.0	0.038899	0.09598	0.023411	0.08507	0.0	0.0	0.047228	0.166128	0.001101	0.123358	0.0	0.0	0.111366	0.0	0.0	0.000249	0.0	0.055014	0.239562
052_S_0671	0.0	0.017373	0.003223	0.071937	0.093412	0.025992	0.050906	0.0	0.0	0.031664	0.127617	0.0	0.059054	0.0	0.0	0.110589	0.0	0.0	0.000339	0.0	0.080261	0.327631
052_S_0952	0.0	0.0	0.0	0.006015	0.073383	0.079296	0.042652	0.0	0.001412	0.0	0.113988	0.021618	0.174473	0.0	0.003818	0.119795	0.0	0.0	0.0	0.0	0.046579	0.31697
052_S_0989	0.0	0.034665	0.0	0.077532	0.091426	0.043441	0.034029	0.0	0.002076	0.01112	0.146671	0.019504	0.067489	0.0	0.019911	0.110744	0.0	0.0	0.003482	0.0	0.056874	0.281037
052_S_1352	0.0	0.001611	0.005386	0.0	0.125302	0.059114	0.055031	0.0	0.0	0.018828	0.16065	0.0	0.149401	0.0	0.013507	0.10064	0.0	0.0	0.009051	0.0	0.077336	0.224144
052_S_4626	0.0	0.010986	0.0	0.077193	0.104657	0.032909	0.048255	0.0	0.0	0.003277	0.135487	0.004663	0.15111	0.0	0.001999	0.107157	0.0	0.0	0.006763	0.0	0.071992	0.243551
053_S_0919	0.0	0.0	0.001817	0.09417	0.103334	0.0	0.044112	0.0	0.012176	0.031889	0.214917	0.0	0.121618	0.0	0.010545	0.093365	0.0	0.0	0.005517	0.0	0.07013	0.196409
