"","logFC","AveExpr","t","P.Value","adj.P.Val","B","metab_symbol","diffexpressed","delabel"
"HMDB13432",0.949656170637774,0.240610022587065,7.47089549738774,2.28368574183208e-12,1.03366828314505e-11,17.5531925788134,"HMDB13432","UP",NA
"HMDB07867",0.84738595714839,0.345845272537313,7.45359232803436,2.53195012610741e-12,1.11665492741147e-11,17.4522589544884,"HMDB07867","UP",NA
"HMDB08538",0.978542479869041,-0.194780714800995,7.38534477813363,3.79910812272709e-12,1.63361649277265e-11,17.0554558805729,"HMDB08538","UP",NA
"HMDB10405",0.973373482926962,-0.146643539905473,7.35589578515069,4.52325614638503e-12,1.89756111506884e-11,16.8848810894508,"HMDB10405","UP",NA
"HMDB13464",0.765629627159804,0.165464422044776,7.28901531469049,6.71290886278541e-12,2.74909601047402e-11,16.4989608029507,"HMDB13464","UP",NA
"HMDB08798",0.766104745374823,-0.577111387169154,7.26098863518655,7.9159804173112e-12,3.16639216692448e-11,16.3378489688136,"HMDB08798","UP",NA
"HMDB13469",0.889065814647378,0.220490790776119,7.18417088680849,1.24150049858179e-11,4.85313831263790e-11,15.8981319589667,"HMDB13469","UP",NA
"HMDB13439",0.644802549388375,-0.679249398154229,7.17406354878265,1.3169692832905e-11,5.033749260577e-11,15.8404817206841,"HMDB13439","UP",NA
"HMDB08606",0.991750509905965,0.0271010896517413,7.16214650382173,1.41178032070917e-11,5.27883076439081e-11,15.7725711741818,"HMDB08606","UP",NA
"HMDB07981",0.981560175135609,0.38193077919403,7.14612118281131,1.54996613943317e-11,5.67221651026608e-11,15.6813550650007,"HMDB07981","UP",NA
"HMDB13446",0.385552419669833,-0.852190141139303,7.12804603108319,1.72188132166789e-11,6.17007473597659e-11,15.5786175386006,"HMDB13446","UP",NA
"HMDB00756",0.793268859461682,0.304123600761194,7.12169264128894,1.78667054439979e-11,6.27157823748499e-11,15.5425423675407,"HMDB00756","UP",NA
"HMDB07911",0.923615976862444,0.256808012825871,7.07564570423241,2.33379438236232e-11,8.02825267532639e-11,15.2816601461113,"HMDB07911","UP",NA
"HMDB13408",0.948616231436626,0.196951209004975,7.06534921199853,2.4771175252325e-11,8.35420028117627e-11,15.2234639181619,"HMDB13408","UP",NA
"HMDB07985",0.907302539185938,0.255011229393035,7.05398254358025,2.64542782558291e-11,8.75026126923579e-11,15.1592784029427,"HMDB07985","UP",NA
"HMDB13422",0.887432857904031,0.262315160671642,6.98416836699389,3.95609858355337e-11,1.27164810102246e-10,14.7664260975735,"HMDB13422","UP",NA
"HMDB08537",0.939117348460487,-0.138879320328358,6.98257979100503,3.99238357297749e-11,1.27164810102246e-10,14.7575146883745,"HMDB08537","UP",NA
"HMDB11698",0.836068412187379,0.229792819661692,6.97917629887844,4.0712312390774e-11,1.27318504203875e-10,14.7384263418497,"HMDB11698","UP",NA
"HMDB08163",0.729903262680252,0.195958200393035,6.81934304027302,1.01361236561736e-10,3.11323798011047e-10,13.8484809991378,"HMDB08163","UP",NA
"HMDB13456",0.938271082454033,0.124554002263682,6.75842718706591,1.43030273050072e-10,4.31600122186182e-10,13.5126904319579,"HMDB13456","UP",NA
"HMDB29221",0.872470393311925,0.181079497597015,6.73764910637532,1.60789709762683e-10,4.76824656537611e-10,13.3985883683668,"HMDB29221","UP",NA
"HMDB13451",0.805455062829361,-0.239325605731343,6.69546111117578,2.03787067922248e-10,5.94091113264859e-10,13.1675998168781,"HMDB13451","UP",NA
"HMDB13415",0.867999531403051,0.219396145263682,6.56005599993163,4.33372233090977e-10,1.2423337348608e-09,12.432510727155,"HMDB13415","UP",NA
"HMDB08657",0.880003578514257,0.220913166318408,6.46467002190491,7.33231468918646e-10,2.06747233859028e-09,11.9205319784935,"HMDB08657","UP",NA
"HMDB13461",0.731299652493328,0.147174392174129,6.39635624778786,1.0654468777511e-09,2.95575585440627e-09,11.5568920578975,"HMDB13461","UP",NA
"HMDB13467",0.661541963480395,0.274793037412935,6.3453183352228,1.40630483201367e-09,3.83943541438652e-09,11.2868858310578,"HMDB13467","UP",NA
"HMDB08070",0.629946297972491,0.3411052159801,6.19975011351832,3.0800176002952e-09,8.27754730079334e-09,10.5247736611496,"HMDB08070","UP",NA
"HMDB13442",0.637212297301928,-0.661932917791045,6.15955321143444,3.81667681893497e-09,1.0099514043951e-08,10.3164399813588,"HMDB13442","UP",NA
"HMDB13125",0.578735155319998,0.660564797502488,6.11175727861376,4.91946961765475e-09,1.28204359732821e-08,10.0699294271509,"HMDB13125","UP",NA
"HMDB08232",0.791998658873922,0.267183296995025,6.10037519005421,5.2250162827949e-09,1.34134746364287e-08,10.0114201307789,"HMDB08232","UP",NA
"HMDB13463",0.677472646309571,0.223198411890547,5.93806144080581,1.22412034091348e-08,3.09630439172232e-08,9.18530062105317,"HMDB13463","UP",NA
"HMDB08522",0.777737443549434,0.358257173442786,5.79118548014852,2.6105806056396e-08,6.50753426333348e-08,8.45129069259584,"HMDB08522","UP",NA
"HMDB13450",0.800876380634678,0.0613050349303483,5.7463297809818,3.28166661283441e-08,8.06352367725028e-08,8.22974073620206,"HMDB13450","UP",NA
"HMDB13435",0.747656459652421,0.215901323572139,5.73952528939681,3.39720372845777e-08,8.22984565203853e-08,8.19624028937747,"HMDB13435","UP",NA
"HMDB10385",0.804612136820263,-0.211947654472637,5.61505199626629,6.36639300279573e-08,1.52086055066787e-07,7.58849698252984,"HMDB10385","UP",NA
"HMDB08029",0.463510679389226,0.374495339134328,5.41978676101023,1.67330298739169e-07,3.94257690179959e-07,6.65484505703867,"HMDB08029","UP",NA
"HMDB10386",0.739252859483303,-0.123334986502488,5.36174078050631,2.22002501498488e-07,5.16005814293782e-07,6.38204292599509,"HMDB10386","UP",NA
"HMDB29220",0.621536195890123,-0.19692717300995,5.1509642651541,6.0873218965237e-07,1.39602582160277e-06,5.41016367663241,"HMDB29220","UP",NA
"HMDB01348",0.608519029923417,0.207114604741294,5.13717749009131,6.49604632083025e-07,1.47015785155632e-06,5.34763121306969,"HMDB01348","UP",NA
"HMDB07898",0.711187097101543,0.270980266104478,5.10956554917207,7.3962638066224e-07,1.65215243472604e-06,5.2227801176167,"HMDB07898","UP",NA
"HMDB07984",0.693361960421616,0.375815674557214,4.99679549271157,1.25014516876266e-06,2.75673037214331e-06,4.71828900357385,"HMDB07984","UP",NA
"HMDB08055",0.704389918867497,0.224872467746269,4.98283381200568,1.33330404689604e-06,2.90288982362176e-06,4.6564393222962,"HMDB08055","UP",NA
"HMDB08271",0.66963393600378,0.27746302299005,4.93135712430983,1.68874834383111e-06,3.63080893923688e-06,4.42957037120832,"HMDB08271","UP",NA
"HMDB29205",0.645933530036018,0.124146807149254,4.86832743459918,2.25004080701419e-06,4.77786442970915e-06,4.15430853450406,"HMDB29205","UP",NA
"HMDB02014",0.597604713228646,0.156691598557214,4.79436414977364,3.14018454536144e-06,6.58672855856302e-06,3.83487248953031,"HMDB02014","UP",NA
"HMDB10393",0.689263931331557,-0.000241498447761195,4.75966487762945,3.66704224833541e-06,7.59917188811675e-06,3.68635261836036,"HMDB10393","UP",NA
"HMDB29206",0.427487422041851,-0.00423304484079602,4.60935242129941,7.11179460351981e-06,1.45622460929215e-05,3.05299369462445,"HMDB29206","UP",NA
"HMDB08751",0.564416909320903,0.362041095378109,4.24192434933767,3.35921085756088e-05,6.79746197059378e-05,1.57496580832341,"HMDB08751","UP",NA
"HMDB13420",0.585725455069377,0.114139284313433,4.16126195986386,4.66270816112364e-05,9.32541632224727e-05,1.26417032519469,"HMDB13420","UP",NA
"HMDB10383",0.589123508822698,-0.0880498491144279,4.01680355413831,8.28893233358207e-05,0.000163873144985761,0.720177857977638,"HMDB10383","UP",NA
"HMDB12108",0.545522256937957,-0.206115068935323,3.94361433066873,0.000110289254778957,0.000215565361613416,0.450817432247666,"HMDB12108","UP",NA
"HMDB07983",0.52947560436665,0.278545088373134,3.74887917706729,0.000231243031671307,0.000446896645477133,-0.24507043324607,"HMDB07983","UP",NA
"HMDB08688",0.468947459336576,0.352692611457711,3.51738626238401,0.000537040003177634,0.00102634311718392,-1.03224036188227,"HMDB08688","UP",NA
"HMDB00929",0.466693508905859,-0.134108993671642,3.4344759671533,0.000718957286131833,0.00135890827708434,-1.30338919456656,"HMDB00929","UP",NA
"HMDB10382",0.437764450284391,-0.375417577646766,3.42109761584076,0.000753232603723496,0.00140821747652654,-1.34660286374368,"HMDB10382","UP",NA
"HMDB10384",0.438568983310438,-0.411210790363184,3.41383662103844,0.00077246931769529,0.0014286529316515,-1.36999385075742,"HMDB10384","UP",NA
"HMDB13129",0.340446514553068,0.385620575099502,3.37832398917943,0.000873351526981514,0.00159804747490235,-1.48375763024753,"HMDB13129","UP",NA
"HMDB08536",0.490448036445155,-0.074061629278607,3.27757453920725,0.00123051464442843,0.00222787914570201,-1.80070654064792,"HMDB08536","UP",NA
"HMDB00148",-0.343546652645632,-0.612275283746269,-3.22322402101943,0.00147560498521398,0.00264379226517504,-1.96810545318054,"HMDB00148","DOWN",NA
"HMDB13330",0.365621447624598,0.249944665039801,3.14319339174565,0.00191989051053206,0.00340434193620118,-2.20999337882132,"HMDB13330","UP",NA
"HMDB00177",0.302195163676216,0.200912230427861,2.79221393412952,0.00573211444099676,0.0100604457535861,-3.20506606921333,"HMDB00177","UP",NA
"HMDB12101",0.320259411554144,0.153354033527363,2.74602703374357,0.00657075722543015,0.0114158610381211,-3.32792878231884,"HMDB12101","UP",NA
"HMDB00271",0.40336963012979,-0.136097642268657,2.52386830851651,0.012368449268226,0.0212737327413486,-3.89217984475808,"HMDB00271","UP",NA
"HMDB62319",0.301745230789214,-0.323683356820895,2.39645450593388,0.0174564103011956,0.02915051040588,-4.19562764797274,"HMDB62319","UP",NA
"HMDB00510",-0.302828624323738,0.419213377651741,-2.30885188623281,0.0219523514702104,0.0359600424083446,-4.39564236504431,"HMDB00510","DOWN",NA
