Cell Type	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
073_S_2225	0.0	0.0	0.0	0.004841	0.133034	0.0	0.046969	0.0	0.0	0.071214	0.165434	0.0	0.148712	0.0	0.001404	0.114078	0.0	0.0	0.033901	0.0	0.077271	0.203143
073_S_2264	0.0	0.0	0.0	0.01841	0.096256	0.02977	0.056729	0.0	0.0	0.0	0.122796	0.0	0.152464	0.0	0.001552	0.1233	0.0	0.0	0.017743	0.0	0.062969	0.318012
073_S_4216	0.0	0.0	0.0	0.003829	0.062252	0.003177	0.061079	0.0	0.0	0.0	0.098624	0.0	0.22235	0.0	0.050712	0.109307	0.0	0.0	0.003095	0.0	0.056838	0.328738
073_S_4259	0.0	0.0	0.0	0.007584	0.125009	0.0	0.053523	0.0	0.0	0.02595	0.167373	0.0	0.164715	0.0	0.0	0.116505	0.0	0.0	0.020945	0.0	0.078683	0.239713
073_S_4360	0.0	0.004518	0.003712	0.02871	0.109193	0.055357	0.063248	0.0	0.0	0.092497	0.088515	0.0	0.151996	0.0	0.0	0.108086	0.0	0.0	0.008061	0.0	0.07371	0.212398
073_S_4443	0.0	0.004893	0.0	0.0	0.123197	0.061896	0.045821	0.0	0.003643	0.019121	0.178419	0.0	0.160681	0.0	0.002152	0.101248	0.0	0.0	0.037285	0.0	0.083682	0.177962
073_S_4540	0.0	0.0	0.0	0.008936	0.084176	0.048244	0.04596	0.0	0.0	0.0	0.103978	0.0	0.170657	0.0	0.000851	0.141033	0.0	0.0	0.017742	0.0	0.063214	0.315209
073_S_4614	0.0	0.0	0.000186	0.014105	0.090581	0.066519	0.046257	0.0	0.0	0.0	0.131667	0.008163	0.180848	0.0	0.017282	0.110829	0.0	0.0	0.016213	0.0	0.055906	0.261444
082_S_2099	0.0	0.003567	0.003457	0.009968	0.068823	0.012722	0.0256	0.0	0.0	0.0	0.087468	0.0	0.238453	0.0	0.03777	0.126481	0.0	0.0	0.011414	0.0	0.046263	0.328015
082_S_2121	0.0	0.011452	0.000626	0.0	0.148404	0.078554	0.066993	0.0	0.0	0.048976	0.142928	0.0	0.134455	0.0	0.007249	0.094118	0.0	0.0	0.0	0.0	0.039702	0.226543
082_S_2307	0.0	0.0	0.0	0.049546	0.158213	0.036025	0.0246	0.009054	0.004187	0.0	0.169937	0.0	0.164039	0.0	0.0	0.102523	0.0	0.0	0.026237	0.0	0.056317	0.199323
094_S_2201	0.0	0.008733	0.001592	0.009209	0.119372	0.057488	0.059088	0.0	0.007745	0.030359	0.080067	0.006081	0.181234	0.0	0.006982	0.104841	0.0	0.0	0.021277	0.0	0.067043	0.238887
094_S_2216	0.0	0.0	0.0	0.04774	0.098233	0.0	0.057815	0.0	0.0	0.01823	0.151902	0.0	0.120542	0.0	0.001332	0.104725	0.0	0.0	0.014808	0.0	0.049306	0.335367
094_S_2238	0.0	0.0	0.0	0.023823	0.126536	0.084288	0.069821	0.0	0.0	0.041341	0.102593	0.0	0.133131	0.0	0.001072	0.102939	0.0	0.0	0.0	0.0	0.05859	0.255865
094_S_2367	0.0	0.0	0.0	0.0	0.088075	0.01152	0.03813	0.0	0.0	0.0	0.125168	0.0	0.193668	0.0	0.004207	0.123158	0.0	0.0	0.040877	0.0	0.052471	0.322725
094_S_4434	0.0	0.062641	0.0	0.050743	0.081523	0.053512	0.046671	0.0	0.001092	0.0	0.098045	0.0	0.142875	0.0	0.007437	0.111852	0.0	0.0	0.009435	0.0	0.048415	0.285758
098_S_2047	0.0	0.0	0.0	0.083307	0.110472	0.006023	0.059053	0.0	0.008022	0.021986	0.170345	0.0	0.162127	0.0	0.006088	0.09235	0.0	0.0	0.0	0.0	0.050085	0.230142
098_S_2052	0.0	0.156718	0.030676	0.067521	0.112557	0.0	0.062284	0.0	0.005248	0.0	0.146891	0.0	0.095353	0.0	0.028761	0.101842	0.0	0.0	0.000229	0.0	0.052092	0.139827
098_S_2079	0.0	0.013924	0.001323	0.0	0.117586	0.044533	0.052909	0.0	0.0	0.0	0.144546	0.031264	0.178141	0.0	0.010918	0.117614	0.0	0.0	0.016847	0.0	0.02209	0.248306
098_S_4059	0.0	0.0	0.0	0.030665	0.09203	0.032606	0.053081	0.0	0.0	0.0	0.166383	0.0	0.173829	0.0	0.0	0.111353	0.0	0.0	0.03477	0.0	0.068896	0.236386
099_S_2042	0.0	0.0	0.010978	0.021089	0.096721	0.0	0.057059	0.0	0.0	0.047065	0.147354	0.0	0.18145	0.0	0.0	0.10666	0.0	0.0	0.016812	0.0	0.049538	0.265273
099_S_2063	0.0	0.0	0.002321	0.016428	0.152203	0.093661	0.055507	0.0	0.0	0.060411	0.120712	0.0	0.127369	0.0	0.001917	0.087128	0.0	0.0	0.003629	0.0	0.078392	0.200323
099_S_4022	0.0	0.0	0.002349	0.009551	0.134579	0.013043	0.052062	0.0	0.0	0.022465	0.138433	0.0	0.219682	0.0	0.0	0.119873	0.0	0.0	0.030336	0.0	0.103126	0.1545
099_S_4202	0.0	0.0	0.0	0.000746	0.092948	0.035976	0.060664	0.0	0.0	0.000182	0.116614	0.0	0.238433	0.0	0.0	0.115257	0.0	0.0	0.012305	0.0	0.056539	0.270336
099_S_4205	0.0	0.016325	0.0	0.03641	0.111741	0.031128	0.064926	0.0	0.0	0.002854	0.140884	0.020653	0.127727	0.0	0.0	0.126714	0.0	0.0	0.007682	0.0	0.065968	0.246987
099_S_4463	0.0	0.011056	0.0	0.090567	0.060833	0.0	0.058235	0.0	0.0	0.094609	0.227142	0.0	0.154872	0.0	0.0	0.103439	0.0	0.0	0.01603	0.0	0.066028	0.117189
099_S_4475	0.0	0.020862	0.0	0.025411	0.114331	0.045465	0.046951	0.0	0.0	0.024051	0.12019	0.0	0.226342	0.0	0.010659	0.101286	0.0	0.0	0.013664	0.0	0.058356	0.192432
099_S_4480	0.0	0.024606	0.011953	0.066393	0.101392	0.00881	0.0756	0.0	0.0	0.089268	0.17974	0.0	0.167911	0.0	0.001895	0.109187	0.0	0.0	0.004216	0.0	0.03501	0.124019
099_S_4498	0.0	0.000729	0.004157	0.00712	0.142011	0.077912	0.061082	0.0	0.0	0.023652	0.095366	0.0	0.138837	0.0	0.0	0.101265	0.0	0.0	0.001079	0.0	0.053269	0.293521
099_S_4565	0.0	0.028951	0.0	0.07553	0.082673	0.0	0.066711	0.0	0.0	0.041157	0.271133	0.0	0.133866	0.0	0.007824	0.077667	0.0	0.0	0.0	0.0	0.015134	0.199354
109_S_2200	0.0	0.001662	0.00324	0.050461	0.16152	0.0	0.044498	0.0	0.0	0.00345	0.153008	0.0	0.107264	0.0	0.023377	0.087294	0.0	0.003352	0.022858	0.0	0.079678	0.258339
109_S_2237	0.0	0.016023	0.043372	0.107427	0.045994	0.040036	0.086487	0.0	0.000618	0.056757	0.133456	0.0	0.140434	0.0	0.007438	0.096695	0.0	0.0	0.001832	0.0	0.070133	0.153298
109_S_2278	0.0	0.015641	0.0	0.075357	0.082128	0.01249	0.080177	0.0	0.00336	0.081785	0.170296	0.0	0.237839	0.0	0.005559	0.08928	0.0	0.0	0.016984	0.0	0.041417	0.087686
109_S_4260	0.0	0.027479	0.0	0.01974	0.104637	0.071671	0.064299	0.0	0.0	0.042463	0.12896	0.0	0.166649	0.0	0.010229	0.11514	0.0	0.0	0.001293	0.0	0.062775	0.184665
109_S_4455	0.0	0.0	0.0	0.020531	0.108475	0.069432	0.050077	0.0	0.00147	0.0	0.117973	0.0	0.147921	0.0	0.007357	0.116361	0.0	0.0	0.006565	0.0	0.103827	0.25001
114_S_2392	0.0	0.013001	0.000685	0.043122	0.125642	0.024411	0.052477	0.0	0.002675	0.0	0.096617	0.0	0.19099	0.0	0.011025	0.124964	0.0	0.0	0.011633	0.0	0.072272	0.230485
114_S_4404	0.0	0.0	0.0	0.04714	0.15487	0.054264	0.035242	0.0	0.0	0.0	0.104192	0.02154	0.114168	0.0	0.000281	0.103376	0.0	0.0	0.0	0.0	0.077572	0.287357
116_S_4175	0.0	0.0	0.0	0.08097	0.037709	0.026464	0.05571	0.0	0.0	0.055658	0.161074	0.0	0.139381	0.0	0.002609	0.109468	0.0	0.0	0.005687	0.0	0.058662	0.266609
116_S_4199	0.0	0.0	0.001047	0.0	0.191406	0.034082	0.045679	0.0	0.001914	0.0	0.128617	0.0	0.190103	0.0	0.015863	0.105705	0.0	0.0	0.022008	0.0	0.060229	0.203348
116_S_4635	0.0	0.0	0.010155	0.030707	0.085637	0.055053	0.050316	0.0	0.0	0.0	0.182694	0.0	0.135532	0.0	0.006864	0.099475	0.0	0.0	0.0	0.0	0.027863	0.315705
123_S_2055	0.0	0.0	0.0	0.043214	0.133833	0.029855	0.062195	0.0	0.001173	0.027085	0.143192	0.0	0.106304	0.0	0.003851	0.110874	0.0	0.0	0.003447	0.0	0.052137	0.282841
123_S_2363	0.0	0.000185	0.0	0.004046	0.115617	0.040625	0.04152	0.0	0.0	0.051184	0.128906	0.0	0.115812	0.0	0.0	0.109944	0.0	0.002733	0.019289	0.0	0.064639	0.3055
123_S_4127	0.0	0.003023	0.0	0.052935	0.066901	0.069144	0.058649	0.0	0.017541	0.041082	0.090103	0.022085	0.145413	0.0	0.014274	0.111576	0.0	0.0	0.004571	0.0	0.092647	0.210057
126_S_2405	0.0	0.008231	0.000954	0.020045	0.173355	0.0	0.053377	0.0	0.022506	0.040912	0.168115	0.018541	0.131526	0.0	0.026589	0.092243	0.0	0.0	0.009828	0.0	0.050583	0.183196
126_S_2407	0.0	0.0	0.004257	0.076159	0.079967	0.0	0.06238	0.0	0.005944	0.061025	0.194603	0.003703	0.11778	0.0	0.002741	0.101327	0.0	0.0	0.002161	0.0	0.062307	0.225647
126_S_4514	0.0	0.01267	0.0	0.023022	0.121471	0.084824	0.052151	0.0	0.00578	0.032441	0.111744	0.005406	0.134019	0.0	0.014872	0.090979	0.0	0.0	0.005583	0.0	0.062967	0.242071
127_S_2234	0.0	0.0	0.003046	0.066377	0.107125	0.035063	0.059322	0.0	0.002434	0.01624	0.144317	0.000795	0.148128	0.0	0.01705	0.097696	0.0	0.0	0.0	0.0	0.036232	0.266176
127_S_4301	0.0	0.0	0.018011	0.053638	0.059912	0.0	0.063649	0.0	0.0	0.015899	0.199154	0.0	0.130961	0.0	0.002526	0.122707	0.0	0.0	0.000771	0.0	0.071205	0.261568
128_S_2002	0.0	0.0	0.009902	0.056326	0.09157	0.039786	0.054389	0.0	0.004374	0.0	0.109183	0.0	0.154319	0.0	0.001942	0.092169	0.0	0.0	0.020296	0.0	0.064393	0.301351
128_S_2003	0.0	0.042218	0.005447	0.048598	0.126936	0.046339	0.067852	0.0	0.0	0.078506	0.12612	0.0	0.137568	0.0	0.000249	0.100009	0.0	0.000543	0.012147	0.0	0.046261	0.161208
128_S_2011	0.0	0.0	0.0	0.049126	0.03676	0.005872	0.046307	0.0	0.0	0.021537	0.146087	0.0	0.246299	0.0	0.012966	0.10779	0.0	0.0	0.019768	0.0	0.087129	0.220359
128_S_2036	0.0	0.0	0.008511	0.022157	0.087228	0.057811	0.060123	0.0	0.0	0.0	0.114534	0.0	0.16015	0.0	0.019734	0.100016	0.0	0.0	0.007224	0.0	0.087897	0.274614
128_S_2045	0.0	0.004268	0.0	0.004528	0.064787	0.024333	0.058054	0.0	0.0	0.0	0.112272	0.0	0.188657	0.0	0.0	0.128531	0.0	0.0	0.012051	0.0	0.067215	0.335303
128_S_2123	0.0	0.007546	0.002162	0.068529	0.100831	0.006052	0.047675	0.0	0.0	0.0	0.141992	0.022826	0.114721	0.0	0.002654	0.117636	0.0	0.0	0.016418	0.0	0.070129	0.28083
128_S_2130	0.0	0.003323	0.010635	0.040051	0.148788	0.069952	0.03633	0.0	0.0	0.01089	0.131	0.008086	0.139348	0.0	0.012362	0.108132	0.0	0.0	0.002034	0.0	0.054376	0.224692
128_S_2151	0.0	0.003288	0.0	0.007461	0.106297	0.062086	0.065663	0.0	0.0	0.04484	0.125773	0.0	0.181468	0.0	0.0	0.103586	0.0	0.0	0.001053	0.0	0.077931	0.220553
128_S_2220	0.0	0.0	0.0	0.063894	0.043177	0.047196	0.063018	0.0	0.0	0.060377	0.189533	0.0	0.188383	0.0	0.001697	0.10826	0.0	0.0	0.002179	0.0	0.056865	0.175421
128_S_4553	0.0	0.006455	0.000272	0.026252	0.102419	0.016371	0.048698	0.0	0.0	0.013088	0.168723	0.0	0.115154	0.0	0.0	0.110802	0.0	0.0	0.025047	0.0	0.108682	0.258037
128_S_4571	0.0	0.012452	0.0	0.017458	0.119811	0.055117	0.053179	0.0	0.007584	0.036929	0.153288	0.0	0.151552	0.0	0.0	0.10444	0.0	0.0	0.016061	0.0	0.080524	0.191604
128_S_4603	0.0	0.016077	0.010916	0.0	0.108047	0.10719	0.08625	0.0	0.001669	0.066131	0.138659	0.0	0.173052	0.0	0.00982	0.095203	0.0	0.0	0.0	0.0	0.073595	0.113391
129_S_2332	0.0	0.0	0.002121	0.007028	0.09881	0.052503	0.061146	0.0	0.0	0.014419	0.161922	0.0	0.181138	0.0	0.01151	0.110917	0.0	0.0	0.004087	0.0	0.081178	0.213222
129_S_4220	0.0	0.0	0.0	0.007311	0.163545	0.008554	0.0605	0.0	0.0	0.071115	0.103075	0.0	0.126648	0.0	0.0	0.109842	0.0	0.0	0.017754	0.0	0.133262	0.198395
130_S_2391	0.0	0.030175	0.023196	0.069252	0.131233	0.0	0.071925	0.0	0.0	0.020328	0.130317	0.0	0.12157	0.0	0.004312	0.107429	0.0	0.0	0.023531	0.0	0.065509	0.201221
130_S_2403	0.0	0.0	0.0	0.0	0.184329	0.021965	0.044668	0.0	0.0	0.026455	0.123689	0.017139	0.176705	0.0	0.004909	0.120803	0.0	0.0	0.010234	0.0	0.067481	0.201623
130_S_4405	0.0	0.0	0.003102	0.010612	0.097375	0.038384	0.050051	0.0	0.0	0.022207	0.186089	0.0	0.142107	0.0	0.002176	0.10489	0.0	0.0	0.007553	0.0	0.04929	0.286161
